sequence,seq_num,run,seed,project,position,model,init,fin,gain,tokens,cost,requests,time_min,flagged
sequence_02,2,run_01,367,ncs,1,qwen,74.18,95.64,21.459999999999997,120165,0.12826292,10,9.891624188423156,False
sequence_02,2,run_01,367,ncs,2,glm,95.64,96.0,0.3599999999999994,62852,0.1819903,8,10.850744823614756,False
sequence_02,2,run_01,367,ncs,3,gpt5mini,96.0,96.0,0.0,59386,0.0677489999999999,11,2.449832463264465,False
sequence_02,2,run_01,367,restcountries,1,qwen,78.27,82.14,3.870000000000005,428168,0.2379737999999999,20,10.576981484889984,False
sequence_02,2,run_01,367,restcountries,2,glm,82.14,82.5,0.3599999999999994,381537,0.5377573249999998,26,8.269957685470581,False
sequence_02,2,run_01,367,restcountries,3,gpt5mini,82.5,82.5,0.0,302164,0.1721969999999999,19,4.436281228065491,False
sequence_02,2,run_01,367,scs,1,qwen,65.08,93.9,28.820000000000007,210837,0.19507573,14,10.086126585801445,False
sequence_02,2,run_01,367,scs,2,glm,93.9,95.59,1.6899999999999975,126147,0.237164626,14,21.17549163500468,False
sequence_02,2,run_01,367,scs,3,gpt5mini,95.59,95.59,0.0,122427,0.11012675,15,4.015418875217438,False
sequence_02,2,run_01,367,spring-actuator-demo,1,qwen,80.65,80.65,0.0,11002,0.0135446299999999,2,3.896405716737112,False
sequence_02,2,run_01,367,spring-actuator-demo,2,glm,80.65,80.65,0.0,8821,0.01293315,2,6.500741171836853,False
sequence_02,2,run_01,367,spring-actuator-demo,3,gpt5mini,80.65,80.65,0.0,10041,0.01228575,2,2.625331290562948,False
sequence_02,2,run_01,450,features-service,1,qwen,56.02,80.96,24.93999999999999,280612,0.2313009099999999,22,10.019716747601828,False
sequence_02,2,run_01,450,features-service,2,glm,80.96,80.96,0.0,161790,0.2445340599999999,22,10.352273893356324,False
sequence_02,2,run_01,450,features-service,3,gpt5mini,80.96,80.96,0.0,102962,0.086238,11,4.0165778517723085,False
sequence_02,2,run_01,450,ncs,1,qwen,74.18,90.91,16.72999999999999,128696,0.13921432,11,8.868634935220083,False
sequence_02,2,run_01,450,ncs,2,glm,90.91,96.36,5.450000000000003,65408,0.188623956,8,6.083967181046804,False
sequence_02,2,run_01,450,ncs,3,gpt5mini,96.36,96.36,0.0,59403,0.064626,11,3.117738382021586,False
sequence_02,2,run_01,450,restcountries,1,qwen,78.27,82.87,4.6000000000000085,427218,0.2338542999999999,19,8.430836300055185,False
sequence_02,2,run_01,450,restcountries,2,glm,82.87,82.87,0.0,373767,0.5550586860000001,28,8.097200059890747,False
sequence_02,2,run_01,450,restcountries,3,gpt5mini,82.87,82.87,0.0,299580,0.16884375,19,4.857819132010142,False
sequence_02,2,run_01,450,scs,1,qwen,65.08,92.54,27.460000000000008,198897,0.18169239,15,10.341227142016091,False
sequence_02,2,run_01,450,scs,2,glm,92.54,95.59,3.049999999999997,115750,0.1949892214,15,5.87863153219223,False
sequence_02,2,run_01,450,scs,3,gpt5mini,95.59,95.59,0.0,115488,0.1000165,14,3.0194177905718487,False
sequence_02,2,run_01,450,spring-actuator-demo,1,qwen,80.65,80.65,0.0,13319,0.0169900399999999,2,3.952842978636424,False
sequence_02,2,run_01,450,spring-actuator-demo,2,glm,80.65,100.0,19.349999999999994,6967,0.0148839,2,2.6145768046379088,False
sequence_02,2,run_01,450,spring-actuator-demo,3,gpt5mini,100.0,100.0,0.0,0,0.0,0,0.0001558462778727,False
sequence_02,2,run_01,767,features-service,1,qwen,56.02,80.31,24.29,287090,0.2380739899999999,24,12.78921004931132,False
sequence_02,2,run_01,767,features-service,2,glm,80.31,80.96,0.6499999999999915,124422,0.2027567708,12,7.72656424442927,False
sequence_02,2,run_01,767,features-service,3,gpt5mini,80.96,80.96,0.0,114342,0.09980525,14,4.471130295594533,False
sequence_02,2,run_01,767,ncs,1,qwen,74.18,96.0,21.819999999999997,180033,0.2049815099999999,11,10.810530761877695,False
sequence_02,2,run_01,767,ncs,2,glm,96.0,96.0,0.0,88454,0.237847958,14,5.578262774149577,False
sequence_02,2,run_01,767,ncs,3,gpt5mini,96.0,96.0,0.0,55707,0.06224075,10,2.7556168993314105,False
sequence_02,2,run_01,767,restcountries,1,qwen,78.27,81.77,3.5,453019,0.19235923,18,48.166203951835634,False
sequence_02,2,run_01,767,restcountries,2,glm,81.77,82.87,1.1000000000000083,366487,0.470501396,26,6.949690326054891,False
sequence_02,2,run_01,767,restcountries,3,gpt5mini,82.87,82.87,0.0,292430,0.1590885,17,4.717501715819041,False
sequence_02,2,run_01,767,scs,1,qwen,65.08,93.22,28.14,282593,0.28857835,13,35.11043562889099,False
sequence_02,2,run_01,767,scs,2,glm,93.22,95.59,2.3700000000000045,170138,0.38529525,14,28.317142593860627,False
sequence_02,2,run_01,767,scs,3,gpt5mini,95.59,95.59,0.0,127723,0.11833875,16,3.652329850196838,False
sequence_02,2,run_01,767,spring-actuator-demo,1,qwen,80.65,80.65,0.0,11745,0.01423088,2,3.22171330054601,False
sequence_02,2,run_01,767,spring-actuator-demo,2,glm,80.65,100.0,19.349999999999994,6089,0.0073326999999999,2,2.1065868218739827,False
sequence_02,2,run_01,767,spring-actuator-demo,3,gpt5mini,100.0,100.0,0.0,0,0.0,0,0.0001834511756896,False
sequence_02,2,run_02,367,features-service,1,qwen,56.02,80.31,24.29,271713,0.2158405,24,8.11391630967458,False
sequence_02,2,run_02,367,features-service,2,glm,80.31,80.31,0.0,107916,0.120762134,12,6.096294105052948,False
sequence_02,2,run_02,367,features-service,3,gpt5mini,80.31,80.31,0.0,110196,0.0961559999999999,12,3.858327790101369,False
sequence_02,2,run_02,367,ncs,1,qwen,74.18,96.36,22.179999999999996,112563,0.1204364199999999,9,12.85689934094747,False
sequence_02,2,run_02,367,ncs,2,glm,96.36,96.36,0.0,52653,0.111700843,11,3.416332272688548,False
sequence_02,2,run_02,367,ncs,3,gpt5mini,96.36,96.36,0.0,56739,0.063582,10,2.812083899974823,False
sequence_02,2,run_02,367,restcountries,1,qwen,78.27,82.5,4.230000000000004,413364,0.21672702,18,6.246255822976431,False
sequence_02,2,run_02,367,restcountries,2,glm,82.5,82.87,0.3700000000000045,398209,0.4518300899999999,30,9.996799957752229,False
sequence_02,2,run_02,367,restcountries,3,gpt5mini,82.87,82.87,0.0,281589,0.140846,17,5.721608070532481,False
sequence_02,2,run_02,367,scs,1,qwen,65.08,93.56,28.480000000000004,226400,0.2164950799999999,13,10.812101725737254,False
sequence_02,2,run_02,367,scs,2,glm,93.56,95.59,2.030000000000001,178324,0.39259433,14,25.94609811703364,False
sequence_02,2,run_02,367,scs,3,gpt5mini,95.59,95.59,0.0,117444,0.1020735,14,2.717834413051605,False
sequence_02,2,run_02,367,spring-actuator-demo,1,qwen,80.65,80.65,0.0,9652,0.01051871,2,2.91798042456309,False
sequence_02,2,run_02,367,spring-actuator-demo,2,glm,80.65,100.0,19.349999999999994,5641,0.01088935,2,2.2661326050758364,False
sequence_02,2,run_02,367,spring-actuator-demo,3,gpt5mini,100.0,100.0,0.0,0,0.0,0,0.0001583456993103,False
sequence_02,2,run_02,450,features-service,1,qwen,56.02,80.31,24.29,270506,0.21719579,24,6.914301458994547,False
sequence_02,2,run_02,450,features-service,2,glm,80.31,80.96,0.6499999999999915,155147,0.2891512879999999,19,6.076709397633871,False
sequence_02,2,run_02,450,features-service,3,gpt5mini,80.96,80.96,0.0,106272,0.08580375,13,3.674261458714803,False
sequence_02,2,run_02,450,ncs,1,qwen,74.18,88.36,14.179999999999993,96215,0.09662895,9,6.132084786891937,False
sequence_02,2,run_02,450,ncs,2,glm,88.36,96.0,7.640000000000001,79138,0.1226545996,10,8.322369531790416,False
