sequence,seq_num,run,seed,project,seq_label,m1,m2,m3,T0,C1,C2,C3,gain,time_min,tokens,cost,requests,flagged
sequence_03,3,run_02,367,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,100.0,100.0,19.349999999999994,7.940564417839051,23070,0.02892635,4,False
sequence_03,3,run_02,450,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,77.68,80.96,80.96,24.93999999999999,16.812201925118764,530202,0.4647785759999999,57,False
sequence_03,3,run_02,450,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,95.64,95.64,96.36,22.179999999999996,9.32167831659317,191118,0.22611013,28,False
sequence_03,3,run_02,450,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,82.32,82.87,82.87,4.6000000000000085,21.560607381661733,1083879,0.9324388584000002,67,False
sequence_03,3,run_02,450,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,91.86,93.56,93.56,28.480000000000004,19.90212209224701,436389,0.5464405757999999,40,False
sequence_03,3,run_02,450,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,80.65,100.0,19.349999999999994,8.296697374184927,36644,0.041993415,7,False
sequence_03,3,run_02,767,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,76.59,80.96,80.96,24.93999999999999,22.83908523718516,561990,0.5547631552000001,70,False
sequence_03,3,run_02,767,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,88.0,92.73,92.73,18.55,69.32010376056036,333719,0.5199445060000001,27,False
sequence_03,3,run_02,767,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,81.4,81.77,82.87,4.6000000000000085,24.910992701848347,1067586,0.8008890538,63,False
sequence_03,3,run_02,767,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,85.76,93.56,93.56,28.480000000000004,16.163717901706697,427570,0.4694694527999999,43,False
